Model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
Majority,0.5,0.0,0.24080955458200964,4.662759153777341e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7591904454179904,4.662759153779561e-05
Stratified,0.5014176172752417,0.007492716199555174,0.24146316108879953,0.002747932266815094,0.24181535779181917,0.011419104149806172,0.24298302533975424,0.011474329965956452,0.2406588591459528,0.01136440739497223,0.6365898801527543,0.00549245950237405
LogReg_L1_C0.01,0.8981156458776823,0.001424997989787127,0.7499942485282649,0.009051285552231848,0.6308985931123127,0.0049821912050509705,0.7404289026557991,0.009350699142816712,0.5496751473055761,0.006304518006138266,0.845121451483727,0.002341034605171146
LogReg_L1_C0.1,0.9062023828012382,0.001828951810658186,0.7659145998791619,0.008924947361293678,0.6561870748872927,0.006916145008286135,0.7353616783902508,0.008945424885326212,0.5925267621388899,0.010054936163525966,0.8504959698821974,0.002730296026910807
LogReg_L1_C1,0.9068196979187542,0.0017049955300898814,0.7671555472561022,0.008808386472323697,0.6625654619740938,0.007010496189571527,0.736171428642711,0.008590108666457331,0.6024743597247694,0.010661207855103955,0.8522465086836345,0.0026858186835634367
LogReg_L1_C10,0.9065939883499871,0.0017976200742783324,0.7667989187668167,0.008946377893073272,0.6621530734959193,0.007398027657857943,0.7345900821488167,0.009357225236139318,0.602857012785994,0.010809427379794812,0.8518779677462313,0.002955458781888671
LogReg_L2_C0.01,0.9035283793851235,0.0018550639752047712,0.7578394077407772,0.01011686597769708,0.6425567843347457,0.005141483792513191,0.7423150576965459,0.009305588495536863,0.5665087928096668,0.006227708536743007,0.8482232614717645,0.0024587478206266216
LogReg_L2_C0.1,0.9065992588426756,0.0017608497088927352,0.7665692318909022,0.009006699262675761,0.659573612548644,0.007109602318983717,0.7381586835013688,0.0074482655013919,0.5962254165528543,0.010649587555301751,0.8518165851249684,0.0025366333738897815
LogReg_L2_C1,0.9067332088262514,0.0017441618999430946,0.7670217953589389,0.00882680196546723,0.6624758608497743,0.00706054462256948,0.7355529606315944,0.008431701253194028,0.6027292991766495,0.010453470022989308,0.8521236491296371,0.0027137796449554796
LogReg_L2_C10,0.9066305021286472,0.001808130607560218,0.7667820575348767,0.008950853758052442,0.6625803816237679,0.0070880199445255854,0.7348634576096429,0.009272840155160543,0.6033671355731585,0.010122991266999039,0.8520315209686468,0.0029074233963374708
LinearSVC_C0.01,0.906362921041677,0.0014249744747308227,0.766554426843688,0.00880898774696662,0.6535495736054473,0.00784688090328519,0.7442383268792837,0.008150090386445662,0.5827064716900144,0.011825716041150725,0.851263735994275,0.0026633665353543107
LinearSVC_C0.1,0.9065245977828594,0.0014361110477555553,0.7669017019413129,0.008625416573909075,0.6590912603589103,0.007879044836066088,0.7429148481711596,0.007143058087852473,0.5923992924129499,0.011989098549679176,0.8524615105453428,0.0026134778847933613
LinearSVC_C1,0.9064676715782364,0.0015022082303041645,0.7667819362129821,0.008732050091650127,0.6590751956010392,0.006667631120438561,0.7408747666063924,0.007571062323485571,0.5936746400280953,0.010683134052145504,0.8521236774230786,0.0023266444978523627
LinearSVC_C10,0.9064494172375801,0.0015498826846901555,0.7668219715219744,0.008840291528319668,0.658697502632189,0.0070527412879469505,0.7401272744669043,0.0078070244732708445,0.5935470890076872,0.011088760420379668,0.8519086991392382,0.0024749875187820916
